1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
-478,-53,35,70,23,20,7,10,-86,21,118,5,38,-54,91,45,2,33,17,10,39,-30,103,-1,18,-31,4,1,30,42,-60,25,-13,95,-6,-11,-104,44,149,22,-192,2
-1,-258,0,0,0,0,0,2,-2,0,-5,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,1,-2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-14,1,4,7,0,0,0,2,-3,-1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,-11,0,0,0,0,0,-1,0,0,3,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,-4,0
-1,-2,-1,2,-1,1,0,0,-2,0,0,1,0,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-2,2,1,0,0,0,5,-1,0,-3,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,-5,-1,6,1,0,0,1,-1,0,-4,0,0,-5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,2,0,-2,0,0,0,1,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
0,-8,0,0,0,0,0,2,-1,0,0,0,0,-4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,-2,2,6,0,0,0,-1,-2,0,-1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,7,0,0,0,0,0,24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,3,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,-1,-1
-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,2,3,0,-3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,2,0,6,0,0,0,0,0,-1,-1,0,1,0,0,0,0,-2,-1,2,0,-3,-1
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,1,-2,-1,-1,-3,1
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-4,-1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,1,0,-3,0
-3,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-2,-1,-1,0,3,7,3,-2,0,0,0,0,0,0,0,1,0,0,0,-3,0,0,0,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,4,0,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,-1,-1
-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,0,1,1,2,0,0,-9,1,0,0,0,1,15,-1,0,0,0,0,0,0,0,-2,-1
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,-1
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,0,0,7,0,-1,-1,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,-2,0,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,-4,0,0,0,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-14,2,0,0,0,-3,0,0,0,0,-1,0
-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,2,0,-29,0,0,0,0,0,37,0,0,0,0,0,0,0,0,-1,0
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-1,0,3,1,0,0,0,0,0,0,-1,0,0,-4,-1,0,0,1,-1,1,0,0,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,0,1,0,0,1,-3,0,0,0,0,2,0,-2,0
-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,-6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-2,2,1,1,-1,0
-2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,2,0,0,0,0,0,0,0,0,0,2,6,0,0,-7,-1,4,0,0,-3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,-2,0,1,0,0,0,0,0,0,-1,1,2,0,-2,-2,0,1,0,-2,-1
-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,-1,-1,0,0,0,-1,0,1,0,0,0,1,1,0,0,-2,10